cj1,count,stage_average
george strickland,1891,1.4359925788497216
danny prado,1869,1.7464454976303319
rick yancey,1855,1.4777070063694266
randy vaughn,1792,1.5844155844155845
jill yancey,1728,1.4137931034482758
wade mcdonald,1667,1.6069418386491556
cindy bulloch,1593,1.5662650602409638
tye payne,1585,1.5221354166666667
cindy lansford,1570,1.5395555555555556
keith bearden,1566,1.5602836879432624
ronnie rios,1485,1.4774193548387098
sherry poteet,1465,1.8243559718969555
barbara lambrecht,1444,1.543878656554713
rob toups,1443,1.5338028169014084
barry hurt,1419,1.5012531328320802
mike olson,1373,1.7339971550497866
susan scarborough,1301,1.5663716814159292
brandon brewer,1283,1.6117496807151979
tammy fedynich,1258,1.4496644295302012
kathy johnson,1213,1.6324110671936758
larry barton,1122,1.5202312138728324
mary ellen cavitt,1122,1.5878084179970973
joe dolkos,1103,1.5861386138613862
don thoede,1083,1.5866050808314087
teri brockway,1081,1.4991974317817014
jim alexander,1076,1.54337899543379
greg countryman,1063,1.843465045592705
roland sandoval,1047,1.3461538461538463
fred pankratz,1045,1.7334437086092715
anthony gibson,1041,1.5522151898734178
june bearden,1032,1.4784240150093808
steve madsen,1023,1.4660347551342812
chuck young,1014,1.4143302180685358
jim cude,1004,1.6493775933609958
phil anthony,1003,1.64010989010989
jack fariss,999,1.481042654028436
melodianne mallow,985,1.5906313645621182
john stuckey,977,1.5640449438202246
jean bryant,966,1.4078341013824884
dennis hopkins,954,1.5283993115318417
steve andre,953,1.4845024469820554
ben davis,953,1.5714285714285714
joe pruitt,952,1.6222627737226278
bill centera,942,1.295031055900621
james marioneaux,930,1.9220985691573926
kyle friesenhahn,924,1.3677130044843049
greg miller,905,1.5714285714285714
gary monroe,904,1.4514563106796117
brian merrill,904,1.5055970149253732
asa burk,902,1.3061224489795917
charles aguillon,889,1.4408396946564885
carl idlebird,877,1.7294469357249627
rick brockway,876,1.5520231213872833
scott coulson,875,1.5085910652920962
pete tolhuizen,873,1.5182341650671785
mack bibb,856,1.3992805755395683
trent cooper,855,1.3802521008403361
mike lipe,846,1.5207877461706782
don haynes,843,1.4227941176470589
todd clearwater,840,1.5758620689655172
nancy caston,837,1.680094786729858
rolando molina,835,1.3636363636363635
tom shine,830,1.402948402948403
dan gibbs,830,1.5751789976133652
rory davis,829,1.440909090909091
mark buley,825,1.4522058823529411
rodney bennett,815,1.4833333333333334
gerald babbitt,803,1.5311004784688995
jim blacksher,802,1.89501312335958
larry matysiak,798,1.4854961832061069
eddie benitez,797,1.4066390041493777
denise stitzel,790,1.6615776081424936
bob parsons,788,1.8791773778920309
bob bryant,772,1.6996336996336996
marty nelson,759,1.3698224852071006
dennis eichler,758,1.6406570841889117
peter warshaw,754,1.7156308851224105
ben chasan,747,1.5703883495145632
dana pradervand,745,1.4425675675675675
jeff laird,742,1.7476635514018692
van henry,738,1.611731843575419
jim perry,730,1.5799457994579946
phil alvarado,728,1.3623529411764705
mike brady,725,1.5850340136054422
randy leifeste,716,1.596306068601583
rocky harris,713,1.5206611570247934
john faraone,706,1.547911547911548
stacy gist,705,1.6132596685082874
robbie edwards,705,1.4947916666666667
diane baker,702,1.708235294117647
mark gurgel,701,1.593939393939394
wallace dierolf,700,1.4432624113475176
charles munsell,698,1.5238095238095237
mike brashear,691,1.3549883990719258
greg dick,688,1.4369747899159664
keith dye,686,1.6934306569343065
rick baker,685,1.5964010282776349
leland sharrock,685,1.7986425339366516
darrington white,679,1.5625
charlotte royall,678,1.3091334894613582
harold bufe,677,1.59375
chico portillo,668,1.5235849056603774
david fortenberry,668,1.4249201277955272
javier vera,665,1.3665594855305465
richard crain,663,1.4933333333333334
bethann adams,663,1.5811209439528024
richard herrera,662,1.5147058823529411
penny compton,661,1.488262910798122
elmer schenk,659,1.6126984126984127
greg hames,658,1.414448669201521
charles cabrera,656,1.3303571428571428
travis hobson,656,1.6206896551724137
ruben adame,650,1.5333333333333334
henry schraub,645,1.7619047619047619
ross grant,644,1.4387351778656126
steven moore,642,1.6486486486486487
raul rodriguez,638,1.3420195439739413
dick clardy,633,1.5088105726872247
sonny martinez,631,1.5986622073578596
mike lewis,629,1.5441595441595442
mike glaze,627,1.6917293233082706
carroll rhodes,625,1.573643410852713
fran badrak,625,1.4730878186968839
shannon dow,624,1.655072463768116
marianne gould,623,1.4725738396624473
cynthia lansford,623,1.4190140845070423
david kirkley,618,1.5255972696245734
ralph zamarippa,618,1.6055555555555556
david eakins,614,1.6
pat autry,614,1.5305164319248827
virginia olsovsky,611,1.5273972602739727
jim rhodes,609,1.4416403785488958
ed pagliai,608,1.3609022556390977
david puckett,596,1.3836858006042296
kenneth griffin,596,1.6865671641791045
ray lashaway,595,1.6178343949044587
larry wolf,590,1.58203125
gary williams,587,1.4024390243902438
joe nunez,586,1.436734693877551
gabe musella,583,1.5311004784688995
cliff franklin,580,1.6020942408376964
robert rubio,579,1.6644295302013423
robert mcelroy,579,1.8796561604584527
shane goforth,579,1.2796610169491525
sandra brunskill,576,1.8893617021276596
roxanne vickers,576,1.32
darlene janeski,575,1.5128205128205128
mike bartley,574,1.7432432432432432
james smith,572,1.4455958549222798
cindy mikel,567,1.5
sammy almany,563,1.676056338028169
walter sparkman,561,1.6255924170616114
brian beck,558,1.2451253481894151
betty pierce,555,1.4684684684684686
mark melton,550,1.64797507788162
scott rhame,550,1.652027027027027
bob howard,549,1.5313531353135315
sharon kalisek,544,1.3601532567049808
rodney klett,543,1.7588652482269505
alan harkey,543,1.5192307692307692
jim jones,541,1.6407766990291262
jim mcdaniel,540,1.6742857142857144
cliff croomes,538,1.171003717472119
scott shepherd,538,1.6372549019607843
albert salazar,534,1.4429530201342282
bob straka,532,1.680672268907563
chris brannan,532,1.6645367412140575
travis smith,520,1.35
jonathan kelly,520,1.7058823529411764
john rauschuber,520,1.3906810035842294
gloria ramirez,518,1.4981549815498154
ross boothman,515,1.6923076923076923
glenn lambert,514,1.6719745222929936
mike marsh,513,1.5789473684210527
priscilla bell,513,1.3153153153153154
margaret wis,507,1.5219512195121951
reece nagai,506,1.26890756302521
russ rutherford,506,1.6330275229357798
david esparza,506,1.4357976653696498
tom sorelle,505,1.4042553191489362
steve hankins,502,1.5544554455445545
manuel san luis,501,1.3727810650887573
dwight hardin,499,1.4761904761904763
carlos luna,498,1.3054393305439331
greg goodman,495,1.7821011673151752
rusty lay,492,1.6911764705882353
mark poole,491,1.4545454545454546
david dunham,491,1.5107296137339057
marcos telles,490,1.5061728395061729
sharon bird,488,1.68503937007874
daniel galloway,487,1.5228070175438597
roger olivarez,486,1.384
kim cooley,484,1.3584905660377358
ann peace,484,1.4308943089430894
mike bullock,480,1.509090909090909
donnie artley,480,1.6118721461187215
john gossett,480,1.4935897435897436
james nance,478,1.5945945945945945
bill harden,478,1.4713804713804715
collin anderson,476,1.4744525547445255
si millican,475,1.5166666666666666
tom knoflicek,474,1.5458937198067633
dennis beaver,473,1.4976744186046511
david lambert,472,1.5391304347826087
mike lunney,465,1.565217391304348
ram estrada,464,1.5654761904761905
faith massey,464,1.6597014925373135
paul worosello,464,1.7056603773584906
perry morris,460,1.8208955223880596
chuck kuentz,459,1.388663967611336
brian pollard,458,1.558011049723757
jeff dubose,455,1.5559322033898304
charlie munsell,454,1.5573770491803278
jason tucker,453,1.3524590163934427
george jones,452,1.4429824561403508
maria coronado,452,1.3533333333333333
steve sanchez,451,1.3920454545454546
cindy houston,448,1.4827586206896552
charles arsuaga,445,1.4606741573033708
oscar herrera,445,1.5573770491803278
jeremy strickland,443,1.4912280701754386
glen oliver,442,1.3454545454545455
rylon guidry,438,1.2592592592592593
forrester halamicek,436,1.7317073170731707
scott deppe,432,1.5359477124183007
joe menchaca,430,1.4776785714285714
michael brashear,429,1.3967391304347827
mark veenstra,428,1.5454545454545454
stuart bird,424,2.0375
roger duran,423,1.302325581395349
james mallow,421,1.6869565217391305
james keltner,420,1.5323383084577114
stan mauldin,419,1.2366071428571428
rob hartman,419,1.65
george little,417,1.6923076923076923
paul schmidt,415,1.509433962264151
bill watson,413,1.521594684385382
cody myers,413,1.7005649717514124
mark watley,412,1.4037267080745341
ken mclellan,409,1.489051094890511
marty ball,408,1.4271844660194175
john benzer,407,1.6059322033898304
doug grice,405,1.4174757281553398
jim childers,403,1.7253521126760563
terry maxwell,403,1.7096774193548387
robert vetter,402,1.428115015974441
brent cannon,400,1.7777777777777777
darwert johnson,399,1.5611814345991561
paul fullerton,398,1.6703296703296704
bob anderson,397,1.5895953757225434
mark calima,397,1.2623762376237624
julie jezek,397,1.7077625570776256
armando robledo,397,1.3891402714932126
jerriald dillard,396,1.4318181818181819
john young,393,1.6805555555555556
doug fulwood,393,1.580110497237569
kevin arnott,392,1.3092369477911647
wayne maxwell,391,1.9548022598870056
mike devenport,389,1.9567099567099566
frank coachman,389,1.3793103448275863
darin johns,387,1.6379310344827587
brian casey,387,1.3547008547008548
lee south,387,1.525
joyce boelsche,387,1.5470588235294118
rustin honeycutt,386,1.5909090909090908
bruce kenner,385,1.6875
george liverman,383,1.497816593886463
gary hebert,381,1.4126984126984128
don hanna,379,1.572093023255814
bob blanton,379,1.8944723618090453
randy bartlett,378,1.5803571428571428
david brandon,375,1.463768115942029
joe castellano,374,1.528301886792453
jerry gowler,373,1.5735294117647058
matt daily,373,1.53
jim shaw,369,1.5345911949685536
jolette wine,367,1.7619047619047619
charles trayler,365,1.5441176470588236
jennifer dillard,364,1.3986486486486487
jeremy spicer,364,1.3736842105263158
james drew,360,1.7587548638132295
matt fehl,359,1.1111111111111112
emerico perez,358,1.3146853146853146
beth adams,357,1.455497382198953
frank horejsi,356,1.391304347826087
virgil beene,354,1.417142857142857
david mcarthur,354,1.7826086956521738
stephen henry,354,1.6259541984732824
kenneth capshaw,353,1.5661157024793388
jeff king,349,1.4549763033175356
todd dixon,348,1.2085561497326203
joe barrow,346,1.2976744186046512
bob vetter,346,1.425414364640884
richard lovelace,341,1.7333333333333334
ben katz,340,1.3908045977011494
bill goodson,338,1.6305732484076434
frank sosa,338,1.3422459893048129
tim edins,338,1.556701030927835
lisa stiles,335,1.5901639344262295
mark mcgahey,335,1.5018315018315018
russell holcombe,334,1.5060975609756098
wanda avila,333,1.5524475524475525
lucy pascasio,333,1.6341463414634145
gerald fagan,331,1.7008547008547008
matt knight,331,1.25
tony gibbs,329,1.7195121951219512
mike cudd,329,1.7875
randy countryman,328,1.783132530120482
pat norton,328,1.6363636363636365
danny solis,328,1.695945945945946
don lawler,327,1.7428571428571429
ryan johnstone,326,1.7142857142857142
kim rosenberg,325,1.6411483253588517
tom bell,324,1.2549019607843137
j.b. perry,323,1.7725321888412018
michael dick,323,1.404040404040404
frank foster,322,1.3278688524590163
jim egger,320,1.326241134751773
shane shinsato,320,1.2647058823529411
dale stelzer,320,1.6
tiffany lisko,317,1.853658536585366
patrick flaniken,313,1.7053571428571428
bryan christian,313,1.276190476190476
mike henderson,313,1.6176470588235294
christine cumberledge,313,1.3740458015267176
kevin heckaman,310,1.59375
alfred esquivel,309,1.6287425149700598
chris brown,308,1.7625
corey graves,308,1.3395061728395061
bene davis,307,1.4811320754716981
bonnie anderson,307,1.6459627329192548
robert herrings,307,1.6540880503144655
scott taylor,305,1.4741379310344827
"howard, bob",304,1.5588235294117647
buddy richardson,303,1.653225806451613
john canfield,303,1.4705882352941178
jd janda,302,1.548780487804878
beth bronk,302,1.4059829059829059
daniel schmidt,302,1.7272727272727273
jeff stone,301,1.5172413793103448
manny gamez,301,1.4342105263157894
nelson nolden,301,1.8309859154929577
ed stein,300,1.6742424242424243
alan hanna,299,1.5943396226415094
david christy,298,1.5986842105263157
william foster,298,1.6124031007751938
eric rettig,297,1.547008547008547
abby crawford,296,1.4385964912280702
bernard rosenberg,296,1.529126213592233
"garza, leo",295,1.4710743801652892
joe williams,295,1.5866666666666667
andy post,295,1.5688073394495412
harry blake,293,1.6017699115044248
eric gray,292,1.8602941176470589
eddie zamora,292,1.4946236559139785
edward zamora,292,1.4933333333333334
cody richardson,292,1.4066666666666667
patrick dietz,291,1.6153846153846154
john kline,291,1.3577235772357723
tommy moore,291,1.6796875
bobby heathcock,291,1.2264150943396226
ryan agard,289,1.265625
bruce beach,288,1.4947368421052631
judge,288,1.4947368421052631
david pennington,288,1.681159420289855
corey ash,288,1.4098360655737705
jeff bradford,287,1.6580645161290322
ricky flores,287,1.4126984126984128
bill miller,287,1.4045801526717556
ray portillo,286,1.529126213592233
rick flores,285,1.5810276679841897
denny whitley,285,1.6458333333333333
daniel allen,283,1.4153846153846155
david ingram,283,1.8220338983050848
paul najera,282,1.8256880733944953
"benitez, eddie",282,1.5083333333333333
"gray, eric",281,1.875
randy jones,281,1.5
jerry payne,280,1.653225806451613
kevin stone,280,1.4621848739495797
richard flores,280,1.3257142857142856
mike ouellette,279,1.63013698630137
michael marsh,279,1.8
bobby yerigan,277,1.6387096774193548
eric eaks,277,1.3255813953488371
deborah hirsch,277,1.5789473684210527
james snider,275,1.3666666666666667
randy bloodworth,275,1.6589147286821706
keith zuehlke,268,1.3275862068965518
wylie gore,268,1.3457943925233644
steve wessels,268,1.486842105263158
joe figarelli,267,1.3103448275862069
tony smith,265,1.6171428571428572
bob whipkey,265,1.5121951219512195
mark conaway,264,1.2878787878787878
sean hill,263,1.7142857142857142
jeff johnson,262,1.4782608695652173
daryl trent,261,1.6440677966101696
bryan ferrell,260,1.6497175141242937
raul gonzalez,260,1.5157894736842106
eric gilley,260,1.2156862745098038
john hinojosa,260,1.2450980392156863
paul fellows,259,1.881578947368421
crystal hoisager,259,1.4651162790697674
joe clark,257,1.3627450980392157
ann lowes,256,1.656441717791411
rachel scotchmer,255,1.6170212765957446
roxanne heckmann,253,1.3943661971830985
jason jones,253,1.3575418994413408
levi chavis,252,1.3412698412698412
ed troyer,252,1.4430379746835442
nathaniel neugent,250,1.5060240963855422
adan molina,250,1.1711711711711712
kristin hames,249,1.378787878787879
susan patterson,246,1.2
michael holt,245,1.4683544303797469
john robertson,244,1.6349206349206349
"brewer, brandon",243,1.5213675213675213
craig ewing,242,1.9310344827586208
cindy bullock,242,1.5954545454545455
katie lewis,241,1.3130434782608695
brian gibbs,241,1.6296296296296295
chris allen,240,1.4416666666666667
laura bell,240,1.3402061855670102
cheryl floyd,239,1.7272727272727273
darrell umhoefer,238,1.4696969696969697
doug williamson,237,1.5681818181818181
rod rodriguez,237,1.5380116959064327
jim bode,236,1.5506329113924051
bryan krnavek,236,1.5851063829787233
steve musser,234,1.6517857142857142
"clarke, bob",234,1.7848101265822784
leo garza,233,1.4929577464788732
chris bailey,233,1.4767441860465116
steve winslow,232,1.7567567567567568
jim van zandt,232,1.7769230769230768
alyson keller,231,1.1944444444444444
john morrison,231,1.4285714285714286
chris mclellan,231,1.9444444444444444
chuck moon,230,1.6090225563909775
ben k. davis,229,1.7013888888888888
clay pope,229,1.5887096774193548
shaka hawkins,228,1.7337278106508875
john ivie,227,1.6603773584905661
joey lucita,227,1.4631578947368422
bob chreste,227,1.7592592592592593
chris lovejoy,227,1.9298245614035088
mike sheffield,227,1.6
bryan stone,226,1.1333333333333333
diane gorzycki,226,1.705128205128205
dave daniel,225,1.7627118644067796
chris conway,225,1.696551724137931
gary potter,224,1.6090909090909091
rick lucio,224,1.523076923076923
merlin patterson,223,1.6607142857142858
gordon shultz,223,1.8556701030927836
robert littlefield,223,1.6090909090909091
jeff estes,222,1.536144578313253
joe glass,221,1.4528301886792452
john walton,221,1.3944954128440368
horacio gomez,220,1.263157894736842
amy bennett,220,1.2747252747252746
stephen krupicka,220,1.6559139784946237
jim mcgahee,220,1.625
criselda marroquin,219,1.3103448275862069
billy harrell,219,1.8129496402877698
joe michel,219,1.6979166666666667
brian britt,217,1.3008130081300813
jerry whorton,216,1.3695652173913044
kevin graham,215,1.4434782608695653
mike ellis,215,1.5488721804511278
rob chilton,215,1.5302013422818792
doug hamelwright,215,1.728813559322034
ryan zysk,215,1.578125
fred klaerner,214,1.5076923076923077
edward pagliai,214,1.6319444444444444
michael childs,214,1.5087719298245614
jerry finnell,214,1.6216216216216217
ed hefti,213,1.6923076923076923
mike bryant,213,1.4296875
tim howell,212,1.3435114503816794
stephen hankins,212,1.8
bill marocco,212,1.24
marion west,210,1.55
melissa danforth,210,1.125
cathy teltschik,210,1.6326530612244898
"toups, rob",210,1.6964285714285714
damian gonzales,209,1.8421052631578947
greg rose,209,1.872093023255814
val rose,208,1.6809815950920246
keith fickel,208,1.6356589147286822
scott mcadow,207,1.50354609929078
robin owens,205,1.50354609929078
amanda pritchard,205,1.8780487804878048
kelly glaze,204,1.7314814814814814
charlotte royal,203,1.3333333333333333
chad dempsey,203,1.178082191780822
willie perez,202,1.5827338129496402
alfonso alvarado,201,1.2407407407407407
j. janda,201,1.6341463414634145
ronnie page,200,1.835820895522388
jim cain,199,1.6271186440677967
john nielsen,199,1.5172413793103448
james bode,199,1.711111111111111
steven moss,199,1.3181818181818181
luis zepeda,198,1.5308641975308641
"strickland, george",198,1.4
jimmy nowell,197,1.135135135135135
ryan smith,197,1.625
rick lambrecht,196,1.9610389610389611
wanda christian,196,1.6696428571428572
ferd vollmar,196,1.5205479452054795
victor alvarado,196,1.3898305084745763
robin hidrogo,196,1.5180722891566265
charlie bradberry,196,1.5483870967741935
ben gollehon,196,1.625
brandon garmon,195,1.6231884057971016
kerry taylor,195,1.32
ken valliant,194,1.3277310924369747
jane botkin,194,1.6974789915966386
john mays,194,1.8333333333333333
david rollins,193,1.681159420289855
charles young,191,1.3214285714285714
david edge,190,1.5233644859813085
bryan bronstad,190,1.6868686868686869
john mallon,189,1.3647058823529412
chris meredith,189,1.6470588235294117
stacey clark,188,1.3442622950819672
tracy mcelroy,188,1.441860465116279
sal mauricio,188,1.0434782608695652
brian moreno,187,1.4
tom neugent,187,1.7777777777777777
richard gonzalez,187,1.607843137254902
andy sealy,187,1.542857142857143
travis almany,187,1.7328244274809161
ryan stratten,186,1.1733333333333333
stuart shipley,186,1.1733333333333333
lance finley,186,1.4955752212389382
richard clem,186,1.7107438016528926
joseph figarelli,185,1.2264150943396226
chuck kingsley,185,1.4
randy kelley,185,1.55
nick seibert,184,1.2727272727272727
dean surface,184,1.2105263157894737
bill duggan,183,1.523076923076923
jason steele,183,1.6075949367088607
richard hooper,182,1.4
francisco sosa,182,1.2295081967213115
daniel solis,182,1.6045197740112995
tom harrington,181,1.5205479452054795
michael ouellette,181,1.5612244897959184
bob clarke,180,1.5533980582524272
"kelly, jonathan",180,1.8083333333333333
mary santarelli,179,1.5606060606060606
"anthony, phil",179,1.4166666666666667
david stone,179,2.0128205128205128
bill cason,179,1.6842105263157894
lonnie baker,178,1.9223300970873787
"unger, ralph",177,1.9534883720930232
mike brown,177,1.2619047619047619
"melton, mark",177,1.4504504504504505
jeff lightsey,176,1.5320512820512822
daniel lugo,176,1.264367816091954
"salazar, albert",176,1.6629213483146068
john pearson,176,1.471698113207547
mary running,175,1.5057471264367817
charles kuentz,175,1.449438202247191
david solis,174,1.4479166666666667
"fullerton, paul",174,1.683673469387755
dane richardson,173,1.6049382716049383
michelle hanegan,173,1.4821428571428572
susan glover,173,1.8795180722891567
josh martinez,172,1.1333333333333333
joshua martinez,172,1.2328767123287672
tim fulton,172,1.4186046511627908
john pritchett,170,1.630952380952381
bob ferguson,170,1.4375
jim drew,169,1.7088607594936709
cody russell,169,1.5714285714285714
tom woody,168,1.7419354838709677
cari martin,167,1.3529411764705883
jason bird,167,1.1956521739130435
kevin mcnulty,167,1.3661971830985915
john alstrin,167,1.2881355932203389
"olson, mike",167,1.6857142857142857
michael farmer,165,1.775
dan morrison,165,1.3670886075949367
david stephenson,165,1.0769230769230769
boyd rowden,165,1.4943820224719102
josh kidd,165,1.5777777777777777
juan sosa,164,1.5365853658536586
jennifer kuentz,163,1.2745098039215685
rick villarreal,163,1.3983050847457628
louis robinett,160,1.0
maria chadwell,159,1.4025157232704402
tom english,159,1.5326086956521738
carol walther,158,1.490566037735849
danny allen,158,1.0294117647058822
brian best,158,1.2987012987012987
albert lo,158,1.2363636363636363
criselda marroquin-morrell,157,1.4042553191489362
gary robbins,155,1.7604166666666667
jason dimiceli,155,1.6774193548387097
oscar gonzalez,155,1.3846153846153846
greg mccutcheon,155,1.359375
anthony michalsky,155,1.8181818181818181
lynne jackson,155,1.5824175824175823
weyland rapp,154,1.89010989010989
carlos cabrera,154,1.0666666666666667
robert ferguson,154,1.0666666666666667
bobby richardson,154,2.135135135135135
robert garza,152,1.5504587155963303
ron davis,152,1.4871794871794872
arnie lawson,152,1.509090909090909
chris burk,152,1.6744186046511629
ronald todd,152,1.7727272727272727
"hobson, travis",151,1.8020833333333333
alex wells,151,1.4776119402985075
patricia norton,151,1.65
robert petrisky,151,2.088235294117647
bill woods,150,1.838235294117647
manuel gamez,150,1.507936507936508
gary faust,149,1.7433628318584071
"garza, robert",149,1.5571428571428572
ralph unger,149,1.7529411764705882
jason adam,149,1.2881355932203389
"lovelace, richard",148,1.6702127659574468
spencer emmert,148,1.6043956043956045
"tipton, russell",148,1.7088607594936709
julie amos,148,1.3333333333333333
rey meza,147,1.4829931972789117
cathy humphrey,147,1.4829931972789117
mark schroeder,147,1.4411764705882353
gerry miller,147,1.1428571428571428
"esparza, david",147,1.4022988505747127
jeannie lunney,146,1.6
grant mcwilliams,146,1.3877551020408163
keith witt,146,1.4128440366972477
dan aleman,146,1.967741935483871
andrew post,145,1.5555555555555556
joe frank,145,1.3345323741007193
"white, darrington",145,1.8333333333333333
david isadore,144,1.5
"michalsky, anthony",144,1.7435897435897436
raul ramirez,144,1.425
daryll kaire,144,1.5849056603773586
"gist, stacy",143,1.6756756756756757
john goforth,143,1.3150684931506849
jorge ybarra,143,1.4791666666666667
chris kanicki,142,1.2340425531914894
benjamin davis,142,1.4126984126984128
nathan carter,142,1.2637362637362637
jennifer wren,142,1.121212121212121
roy hinojosa,142,1.74
al mendez,142,1.74
harold floyd,141,1.7130434782608697
"brannan, chris",141,1.5795454545454546
rob towell,141,1.411764705882353
alex sanchez,140,1.5
"garmon, brandon",140,1.6885245901639345
j. b. perry,140,1.5692307692307692
hubert almany,139,1.8653846153846154
"fred junkin, jr.",139,1.72
mark edenfield,139,1.3559322033898304
brian shelton,139,1.5416666666666667
fred junkin,139,1.7518796992481203
jerry thomas,138,1.7142857142857142
josh kurzweil,138,1.7142857142857142
john zalman,138,1.3142857142857143
william duggan,138,1.5604395604395604
steven wolf,138,1.435483870967742
"marsh, michael",138,1.3950617283950617
chuck pennington,137,1.2933333333333332
kenny capshaw,137,1.2933333333333332
ken griffin,137,1.7087378640776698
gregory dick,136,1.4297520661157024
dan huck,136,1.5176470588235293
jorge garcia,135,1.425531914893617
susan meyer,134,1.625
"watley, mark",134,1.4285714285714286
cindy barrington,134,1.8076923076923077
henry vega,134,1.5714285714285714
mike holt,134,1.3478260869565217
louis thornton,134,1.488888888888889
jim pritchard,133,1.6703296703296704
holly turk,133,1.6842105263157894
mike howard,133,1.4
"poteet, sherry",132,2.257142857142857
brent colwell,131,1.5444444444444445
ryan heath,131,1.6911764705882353
jeff comp,131,2.017857142857143
mario casanova,131,1.3432835820895523
joe mcgee,131,1.5277777777777777
philip geiger,130,1.4867256637168142
stazie church,130,1.3617021276595744
david landry,130,1.5853658536585367
ronald ferguson,130,2.0
david clemmer,129,1.3888888888888888
"chasan, ben",129,1.3968253968253967
don hopkins,129,1.5
brian sours,129,1.7234042553191489
melissa allen,129,1.40625
eddy russell,128,1.40625
jay lester,128,1.4
"idlebird, carl",128,1.75
joe munoz,127,1.2747252747252746
ben keltner,127,1.2747252747252746
"little, george",127,1.6666666666666667
james dolnik,127,1.3269230769230769
rick davis,127,1.6142857142857143
tony valverde,126,1.9607843137254901
charlie cabrera,126,1.5555555555555556
lynda greene,125,1.2307692307692308
josh shaw,125,1.4
glen herbst,125,1.4153846153846155
glenn herbst,125,1.6037735849056605
tim jones,125,1.7142857142857142
"kiser, randy",125,1.6551724137931034
"hurt, barry",124,1.5280898876404494
dr. maurice portis,124,1.1604938271604939
eric bolden,124,1.3666666666666667
dan black,124,1.5971223021582734
wendell gideon,123,1.6610169491525424
william mckinney,123,1.6610169491525424
reagan brumley,123,1.3818181818181818
jennifer voges,122,1.5
sherry miller,122,1.1304347826086956
armando robledo-donna,122,1.4700854700854702
michael owen,121,1.4700854700854702
joshua chessher,121,1.4700854700854702
don summersgill,121,1.2857142857142858
"aleman, dan",121,1.9338842975206612
daniel todd,120,1.5875
chris arrowood,120,1.6931818181818181
russell holcomb,120,1.4615384615384615
christin bunch,120,1.4366197183098592
"fagan, gerald",119,1.4864864864864864
"blaylock, richard",119,1.6237623762376239
april page,119,1.4363636363636363
will brewer,118,1.530612244897959
"gould, marianne",118,1.608695652173913
joey ashbrook,118,1.6101694915254237
priscilla gibson,118,1.576271186440678
bob ingram,117,1.9736842105263157
brian tillman,117,1.4651162790697674
stephen bond,117,1.35
wayne mcbee,117,1.7096774193548387
steven deater,116,1.2941176470588236
dustin winson,116,1.48
ann lowes mueller,115,1.46
lance walker,115,1.196078431372549
michael ganus,115,1.8507462686567164
"arsuaga, charles",115,1.5662650602409638
dale pfrimmer,115,1.8095238095238095
eric donalson,114,1.0
"shine, tom",114,1.81
neal sutton,114,1.7536231884057971
daniel aleman,114,1.9824561403508771
marlene meagher,114,1.8979591836734695
see region  web site,114,1.8979591836734695
darcy williams,113,1.3
carol nelson,113,1.027027027027027
larry doran,113,1.6708860759493671
justin wallis,113,1.5897435897435896
"leifeste, randy",112,1.6714285714285715
lorry hartley,112,1.5777777777777777
meredith bishop,112,1.2608695652173914
clay johnson,111,1.5818181818181818
tim king,111,1.2727272727272727
melissa fisher,111,1.72
kevin knight,111,1.1222222222222222
bill canon,111,1.7446808510638299
amanda stevenson,111,1.3287671232876712
garland chiasson,111,1.4565217391304348
"wolf, steven",110,1.4558823529411764
james cain,110,1.7272727272727273
preston hazzard,110,1.5277777777777777
andy easton,110,1.5051546391752577
betty bierschenk-pierce,110,1.3545454545454545
jed maus,110,1.360655737704918
"olivarez, roger",110,1.8823529411764706
andie troutman,109,1.0
eric grey,109,1.7671232876712328
"joe frank, jr.",108,1.4787234042553192
john carroll,108,1.2432432432432432
ramiro lichtenberger,108,1.2777777777777777
jesus perez,108,1.3548387096774193
richard knoll,108,1.5263157894736843
thomas turpin,108,1.7191011235955056
guy mckinney,108,1.7191011235955056
will ludlow,108,1.1818181818181819
paul flinchbaugh,107,1.5822784810126582
garland chaisson,107,1.9387755102040816
jill yancy,106,1.4056603773584906
miguel cabrera,105,1.4056603773584906
j.d. janda,105,1.6
tim bradberry,105,1.542857142857143
steven dojahn,104,1.7454545454545454
tami goss,104,1.481012658227848
brian lamb,104,1.25
brett johnson,104,1.507936507936508
mike watts,103,1.3225806451612903
arnold salinas,103,1.1714285714285715
charlie muncell,103,1.5242718446601942
cheryl hopkins,102,1.446808510638298
danny norris,102,1.59375
eddie chance,101,1.6231884057971016
jimmie exline,101,1.6666666666666667
tommy neugent,101,1.46
